"","CT_ID_10","year","parcelpct","privateconflict","socdis","udensity","violence","ISD_nbhd","rperunit","udensity_lag1","udensity_lag2","parcelpct_lag1","parcelpct_lag2","rperunit_lag1","rperunit_lag2","medincome","udensity_lead1","udensity_lead2","parcelpct_lead1","parcelpct_lead2","rperunit_lead1","rperunit_lead2"
"25025000202-2012","25025000202","2012",0,13.2107983917289,7.75416427340609,0,27.5703618609994,1,0.0153538050734312,0.000651890482398957,NA,0.00147492625368732,NA,0.00130378096479791,NA,54607,0.000683526999316473,0.00134680134680135,0.00147492625368732,0.00294985250737463,0.025974025974026,0.0471380471380471
"25025000202-2013","25025000202","2013",0.00147492625368732,13.3816559799275,9.47867298578199,0.000683526999316473,23.4178979648732,1,0.025974025974026,0,0.000651890482398957,0,0.00147492625368732,0.0153538050734312,0.00130378096479791,51636,0.00134680134680135,0.00267379679144385,0.00294985250737463,0.00589970501474926,0.0471380471380471,0.0695187165775401
"25025000202-2014","25025000202","2014",0.00294985250737463,8.9261563429808,4.59832296456586,0.00134680134680135,15.1474168244523,1,0.0471380471380471,0.000683526999316473,0,0.00147492625368732,0,0.025974025974026,0.0153538050734312,52083,0.00267379679144385,0.00392156862745098,0.00589970501474926,0.00884955752212389,0.0695187165775401,0.0581699346405229
"25025000202-2015","25025000202","2015",0.00589970501474926,7.53390256152687,1.25565042692115,0.00267379679144385,14.3144148669011,1,0.0695187165775401,0.00134680134680135,0.000683526999316473,0.00294985250737463,0.00147492625368732,0.0471380471380471,0.025974025974026,60714,0.00392156862745098,0.00643500643500643,0.00884955752212389,0.0147492625368732,0.0581699346405229,0.0296010296010296
"25025000202-2016","25025000202","2016",0.00884955752212389,9.79407332998493,2.76243093922652,0.00392156862745098,12.054244098443,1,0.0581699346405229,0.00267379679144385,0.00134680134680135,0.00589970501474926,0.00294985250737463,0.0695187165775401,0.0471380471380471,66875,0.00643500643500643,NA,0.0147492625368732,NA,0.0296010296010296,NA
"25025000202-2017","25025000202","2017",0.0147492625368732,10.7985936715218,3.76695128076344,0.00643500643500643,10.7985936715218,1,0.0296010296010296,0.00392156862745098,0.00267379679144385,0.00884955752212389,0.00589970501474926,0.0581699346405229,0.0695187165775401,72529,NA,NA,NA,NA,NA,NA
"25025000301-2011","25025000301","2011",0.00354609929078014,11.1524163568773,3.30441966129698,0.00160384923817161,25.1961999173895,1,0.00641539695268645,NA,NA,NA,NA,NA,NA,89236,0.00402252614641995,0,0.00886524822695036,0,0.0080450522928399,0.0158465387823186
"25025000301-2012","25025000301","2012",0.00886524822695036,8.61715223635617,4.92408699220353,0.00402252614641995,26.2617972917522,1,0.0080450522928399,0.00160384923817161,NA,0.00354609929078014,NA,0.00641539695268645,NA,89688,0,0.00843170320404722,0,0.0159574468085106,0.0158465387823186,0.0708263069139966
"25025000301-2013","25025000301","2013",0,8.84955752212389,17.330383480826,0,23.598820058997,1,0.0158465387823186,0.00402252614641995,0.00160384923817161,0.00886524822695036,0.00354609929078014,0.0080450522928399,0.00641539695268645,81927,0.00843170320404722,0.00749375520399667,0.0159574468085106,0.0159574468085106,0.0708263069139966,0.130724396336386
"25025000301-2014","25025000301","2014",0.0159574468085106,5.01930501930502,4.24710424710425,0.00843170320404722,13.5135135135135,1,0.0708263069139966,0,0.00402252614641995,0,0.00886524822695036,0.0158465387823186,0.0080450522928399,78250,0.00749375520399667,0.00941780821917808,0.0159574468085106,0.0177304964539007,0.130724396336386,0.0770547945205479
